aid,ssn,fname,lname,email,phone,room_no
550669,805-56-7097,James,Ritter,todd07@example.com,(750)881-9806,920285
636397,820-91-4404,Jennifer,Mccall,millerpatricia@example.org,001-886-867-2821x3165,275531
927074,530-50-9333,Susan,Harrison,katherinesawyer@example.net,(490)366-9501,473585
361086,686-81-3916,Anthony,Collier,wesley35@example.com,8244407043,895998
975793,315-38-5309,Timothy,Castillo,james47@example.com,269.324.5779,479026
500391,699-74-3712,Vanessa,Valdez,qpruitt@example.com,001-718-620-7180x885,276552
572327,493-45-1439,Jacob,Garner,elizabeth14@example.com,001-523-878-3251x906,966496
343134,832-25-5525,Brittany,Gordon,emoore@example.com,001-516-648-6223x035,390414
805600,553-91-0715,Tyler,Sanchez,larry14@example.com,(416)569-4138,370311
675988,541-41-9273,Dawn,Benson,upark@example.org,(313)933-1226x63589,372534
270165,670-68-8439,Stephanie,Garza,jacksonpaul@example.com,464-599-1943,931478
921554,684-54-8517,Andrew,Ramirez,zwilkins@example.com,001-257-669-7586x05866,915428
194780,469-11-2211,Christie,Gonzalez,rvasquez@example.net,(689)997-3347x4540,810248
447466,685-40-6805,Jessica,Moyer,hbentley@example.org,853.944.7004,721000
829919,673-41-1550,Krystal,Weber,boydlisa@example.net,+1-342-974-9793x8455,774423
852840,473-25-2006,Patricia,Harvey,murrayjames@example.com,675.439.2058,971297
124237,190-90-7960,Mitchell,Nguyen,yquinn@example.net,+1-599-632-9247,463264
382582,571-34-7442,Mitchell,Randall,john18@example.com,(371)654-1483x0822,912785
151870,683-46-3289,David,Ruiz,william58@example.org,979-968-5338x3404,538267
960376,769-07-8867,Kimberly,Henry,erik54@example.com,+1-316-383-3068x3213,481427
208050,889-68-7998,April,Smith,brookemiller@example.net,(493)236-6773,677475
272062,712-93-4858,Melinda,Taylor,grantjeffrey@example.com,001-702-654-4735x34836,995178
520639,763-88-6394,Lisa,Hall,brandynunez@example.org,840.684.9837,522367
313083,657-92-2781,Richard,Miller,eparker@example.net,+1-318-675-6449x26156,870460
396576,780-54-9534,Tracy,Smith,littlethomas@example.org,001-980-240-6805,893696
157103,734-61-4446,Tiffany,Mitchell,kmoore@example.net,434-573-6882x9253,126833
971764,036-33-3493,Kim,Murray,michael57@example.net,605-769-1061x82485,978732
898426,508-33-3499,David,Campbell,carolday@example.com,9342721190,368652
254706,796-57-5962,Melissa,Smith,elizabeth20@example.net,+1-214-597-8602,892785
547725,802-77-6053,Samantha,Mejia,wellsjohn@example.com,574-364-5239x324,659642
200030,665-64-2546,Kevin,Gonzalez,daniellelawson@example.org,+1-615-311-1713,725106
100109,896-99-0350,Timothy,Johnson,brianna36@example.org,+1-691-476-2130x04710,918570
100381,694-56-9740,Bradley,Hobbs,raymond99@example.net,001-827-741-5216x386,384260
