cid,ssn,fname,lname,alpha_range
163399,048-50-2941,John,Black,N-T
510008,709-78-8363,Melissa,Mcconnell,A-G
840329,559-69-9287,Marcus,Collins,T-Z
372456,556-80-9341,Ruth,Rollins,T-Z
275671,181-64-6994,Mckenzie,Guerrero,A-G
845514,019-46-0884,Matthew,Miranda,T-Z
266836,854-08-7234,Taylor,Lee,G-N
219982,401-59-4163,Mary,Carr,G-N
306339,402-97-3644,Tina,Rodriguez,A-G
903657,354-42-4552,Ronald,Higgins,A-G
933656,779-98-4390,Joseph,Petersen,N-T
132785,231-45-6082,Adam,Cardenas,G-N
560903,177-73-7228,Valerie,Pitts,G-N
139857,330-22-5257,Lisa,Kennedy,G-N
195542,833-39-8694,Jennifer,Higgins,T-Z
558945,176-74-4415,Thomas,Mcbride,G-N
512458,655-75-3876,David,Chambers,G-N
750175,484-65-3968,James,Beard,T-Z
610340,443-11-6101,Danielle,Jones,G-N
158384,330-12-1106,John,Wagner,G-N
527899,610-52-1920,Tonya,Mitchell,G-N
206202,446-31-0730,Lauren,Moore,T-Z
902107,261-81-2611,Ashley,Hodges,A-G
842633,479-21-3911,Michael,Taylor,A-G
358498,061-38-7994,Mike,Johnson,N-T
130675,730-53-4628,Jeffrey,Rivera,N-T
281870,570-21-5482,Kristi,Mann,G-N
565007,312-21-1045,Thomas,Reeves,T-Z
955077,564-36-2645,Carla,Estrada,A-G
176573,170-59-1910,Mark,Olson,A-G
626313,172-43-6583,David,Richards,N-T
468928,438-04-5792,Maria,Holder,G-N
529557,468-21-2483,Amber,Sheppard,T-Z
312312,459-09-7384,Felicia,Harrison,A-G
673524,641-07-8528,David,Moore,N-T
524593,854-34-4246,Timothy,Edwards,T-Z
863934,341-36-8584,Molly,Gallegos,N-T
552663,377-16-1072,Alexandra,Johns,T-Z
886208,257-88-5546,Tina,Mccoy,N-T
137726,124-40-1843,George,Jones,N-T
628002,788-67-7809,Gerald,Scott,G-N
681253,720-59-3685,Jose,Parker,A-G
513847,115-72-9953,Kevin,Curry,N-T
230567,859-08-7352,Kimberly,Evans,G-N
394677,058-75-1658,Lori,Rowe,N-T
805841,135-18-5158,Andrew,Wolfe,T-Z
697532,417-32-5927,Christopher,Sutton,G-N
207264,039-95-6170,Ronald,Lewis,T-Z
317454,528-83-5601,Joshua,Clark,T-Z
480898,340-45-5527,Chelsea,Palmer,T-Z
