sid,cid,ssn,fname,lname,gpa,dob,email,address
387917,757267,176-34-5142,David,Stevens,0,1913-03-10,whiteerin@example.com,"145 Belinda Oval Apt. 570, New Patricia, IA 46206"
765975,105330,158-59-5191,Dawn,Davis,0,1958-05-18,larry43@example.org,"391 Andrew Lodge Suite 574, Garciaview, IL 52648"
970640,322371,758-57-2584,Lisa,Little,3,1954-01-20,sweeneyhannah@example.net,"PSC 3193, Box 7480, APO AP 85004"
587658,374834,475-75-3276,Lori,Miller,0,1931-11-15,agriffith@example.com,"Unit 4128 Box 7815, DPO AP 79724"
191952,105330,737-64-1381,Tiffany,Cox,3,1968-12-21,cruzscott@example.net,"80271 Thompson Fort, East Travis, VA 11373"
881558,442296,150-76-4619,Wesley,Hinton,4,1926-07-30,potterjoshua@example.org,"PSC 9599, Box 3706, APO AE 16527"
905292,442296,737-13-1481,Jack,Vargas,3,1988-12-17,aballard@example.net,"337 Ware Villages, Davidburgh, OR 66540"
226095,783284,705-17-2514,Anthony,Romero,3,1994-09-29,chadbrooks@example.org,"PSC 4656, Box 0417, APO AE 63975"
810883,744463,395-32-0979,Rebecca,Clark,4,1960-06-06,ofox@example.org,"62425 Dustin Light, Port Timothyfurt, MT 18046"
584094,623350,592-77-5536,Alicia,Lewis,0,1956-07-03,sherry16@example.net,"55680 York Fork Suite 288, Patriciahaven, OH 98247"
357725,125474,142-72-2268,Kathleen,Boyle,2,2022-12-11,ychang@example.com,"65965 Sanders Squares Apt. 371, Daviston, ND 80031"
351475,925024,105-13-1255,Kimberly,Jones,4,1925-09-19,sgreene@example.org,"14822 Mcdaniel Row, Jayshire, TN 52409"
721883,105330,572-23-6591,Denise,Jones,3,1999-05-27,murphydaniel@example.com,"6220 Howard Wall Apt. 987, West Jimmyview, MI 34713"
683072,330271,861-38-8837,Kathy,Smith,1,1994-02-16,brianwilliams@example.org,"7757 Robert Junction, Port Brenda, ND 04681"
246351,398324,487-37-0639,Philip,Ramirez,1,2024-04-20,sanchezzachary@example.org,"Unit 7840 Box 0239, DPO AP 76268"
860395,105330,404-99-5756,Christina,Davis,0,1996-04-02,heather17@example.org,"68257 Baker Plaza Apt. 280, West Sarastad, RI 03839"
414829,330271,296-37-5595,Trevor,Galloway,3,1914-01-08,anthony45@example.org,"646 Gabriella Underpass Apt. 362, East Amandaberg, NH 90835"
268263,398324,100-46-5242,Misty,Phillips,0,1917-08-10,jennifer14@example.org,"005 Natalie Views, East William, NC 61299"
752476,770698,633-45-5900,Angela,Scott,0,1971-01-01,kendra22@example.com,"5329 Anderson Creek Suite 331, North Christopherburgh, ID 38371"
575242,867279,319-85-0126,David,Clay,2,2008-04-15,pamelagarcia@example.com,"86956 Patrick Grove Suite 240, Gutierrezstad, MD 02073"
426688,830165,447-71-8531,Crystal,Moore,0,1926-04-01,tiffanymiller@example.com,"022 Kimberly Keys Apt. 167, Amandashire, AK 18695"
542683,486559,572-48-7033,Samantha,Ward,4,1968-02-02,nixonchristine@example.com,"14749 Walter Lodge Apt. 975, East Jason, SC 84122"
261278,105330,776-37-8462,Colin,Savage,4,1921-08-23,andersonjacob@example.net,"925 Dustin Streets Apt. 795, Denniston, ME 07273"
355055,783284,520-55-2743,Rhonda,Stone,1,1958-10-08,julianlin@example.com,"9506 Jacob Extensions, Justinton, NY 58777"
931229,789892,085-52-9115,Anthony,Jimenez,2,1952-06-21,robertlong@example.com,"PSC 7144, Box 2947, APO AP 06441"
504443,347496,746-83-6164,Megan,Chapman,0,2016-12-06,william90@example.org,"95586 Davis Fork, East Steven, KS 67415"
789833,105330,384-51-1379,Kimberly,White,1,1994-06-30,dean34@example.net,"6190 Mitchell Trace Apt. 883, Whiteburgh, NM 99830"
510067,105330,291-43-6944,Ellen,Smith,1,2021-09-08,ygardner@example.com,"84980 Gregory Cliffs, East Phillip, VT 57387"
722777,540749,772-65-6149,Jonathon,Cook,2,2018-07-21,stephanietaylor@example.com,"382 Jones Mountain, New Brianchester, AR 74557"
520926,442296,706-69-5221,James,Johnson,0,1988-11-13,boothjoseph@example.com,"PSC 2396, Box 3863, APO AA 52671"
271861,347496,667-35-6065,Caitlyn,Ray,3,2007-04-13,tammyjones@example.com,"9356 Higgins Turnpike Suite 133, Port Susan, KS 22093"
